id,user_id,token,amount,created_at,status,category,description,date,type,splitwise_expense_id,splitwise_group_name,splitwise_raw_json
19,2,QxAbbTcW1nRA7VG-5hVZMg,32.0,2025-12-08,approved,Food & Dining,smosa office,2025-12-08,expense,,,
20,4,Sd1lSSChGeCbTEnCQRkeag,20000.0,2025-12-08,pending,Other,SAURABH SINGH TOLIA,2025-12-08,expense,,,
21,4,WnS0wl78oAgTVs-p-QQFuQ,20000.0,2025-12-08,pending,Other,SAURABH SINGH TOLIA,2025-12-08,expense,,,
22,2,7tFyievF-N0aIr0U8GNrLg,500.0,2025-12-08,approved,Home & Garden,MAMTA,2025-12-08,expense,,,
23,2,yJRD0SpxUztdqaEzZeY8Hg,10.0,2025-12-08,approved,Transport,Maha Mumbai Metro Operation Corporation Limited,2025-12-08,expense,,,
24,2,UH8qKApxP91KFkubiGd6mA,44.0,2025-12-09,approved,Transport,Rapido,2025-12-09,expense,,,
25,2,Fe9UOJLVXb-xkgmQBEGbPw,39.0,2025-12-09,approved,Other,Compass,2025-12-09,expense,,,
26,2,ukS1aN7c_L-8GvGIkCohlw,92.0,2025-12-09,approved,Food & Dining,office lunch,2025-12-09,expense,,,
27,2,3R4UKfSe6s1956LTOYWFMg,10.0,2025-12-09,approved,Transport,Maha Mumbai Metro Operation Corporation Limited,2025-12-09,expense,,,
28,2,QV5A78SwUXdAn3meM_mKWg,389.0,2025-12-09,approved,Shopping,Zepto,2025-12-09,expense,,,
29,2,a2KeE1a_G_IzBSbjDPUFvA,97.0,2025-12-10,approved,Transport,office half with shreyansh ,2025-12-10,expense,,,
31,2,o9VIevLDqrI6_F1RqBJPtg,134.0,2025-12-10,approved,Food,Compass India Food Services Private Limited,2025-12-10,expense,,,
34,2,h5vFO2IuD7U8uU4cfuGnuQ,10.0,2025-12-10,approved,Transport,Maha Mumbai Metro Operation Corporation Limited,2025-12-10,expense,,,
35,4,GlkVkoGGJfpi00Z_m7vxIA,172.0,2025-12-10,pending,Shopping,ZEPTOMARKETPLACEPRIVATE,2025-12-10,expense,,,
36,2,_M_Ndkom0WfQKejd8zGMzg,98.0,2025-12-11,approved,Transport,auto morning ,2025-12-11,expense,,,
37,4,FY8RYc5n077Cxne5_EM-qw,103.0,2025-12-11,pending,Other,PUNEET KUMAR,2025-12-11,expense,,,
7,3,YHW96BnJm4CcaKxAtB0KUw,1.0,2025-12-04,approved,Entertainment,Kk,2025-12-04,expense,,,
38,2,YDRI57PeK57sfx13Y_ohGA,134.0,2025-12-11,approved,Food & Dining,lunch,2025-12-11,expense,,,
15,4,vb7enSwJ2vphNvOKe3LxYw,55.0,2025-12-06,approved,Food & Dining,M S SHREEJEE FO,2025-12-06,expense,,,
14,4,j9m9z5KHpcrYyjex0NDemw,51.0,2025-12-06,approved,Other,Not specified,2025-12-06,expense,,,
13,4,lAZKkBDNK7BSyZ6_LGHlbA,102.0,2025-12-06,approved,Other,Not specified,2025-12-06,expense,,,
